"x","y","date"
4462174,3346283,"2023-06-14"
4421267,3072280,"2022-05-08"
4224038,3197437,"2024-03-04"
4291639,3351433,"2024-02-08"
4203947,2991280,"2020-02-27"
4431902,2966619,"2021-09-09"
4345093,2877790,"2020-04-25"
4311829,3035763,"2025-05-24"
4350378,3376343,"2020-07-20"
4254641,2804747,"2022-06-24"
4311788,3395794,"2023-02-15"
4432058,3185889,"2024-06-05"
4385880,3384920,"2024-09-10"
4397358,3152575,"2023-04-20"
4389157,3007116,"2020-03-19"
4372130,2743978,"2021-04-20"
4197227,3367870,"2020-10-12"
4186568,2767008,"2022-03-28"
4453339,3379466,"2022-05-29"
4288836,3211251,"2020-10-08"
4618806,3218464,"2022-06-11"
4336842,3424415,"2025-06-15"
4133261,2899933,"2020-09-18"
4294878,3390697,"2022-04-23"
4301799,3389237,"2021-05-18"
4394657,3298868,"2024-04-24"
4251470,3054165,"2025-05-19"
4321129,3389781,"2021-12-04"
4384151,2795803,"2023-11-16"
4267473,3260345,"2022-09-27"
4419189,3376533,"2020-11-24"
4349365,2997269,"2021-11-04"
4384549,3051422,"2020-07-30"
4228738,3231500,"2022-07-24"
4425983,3293058,"2023-10-03"
4507410,2771296,"2021-12-13"
4157807,2796603,"2024-01-06"
4296105,2915487,"2020-11-05"
4259382,3358443,"2020-08-28"
4385850,3189545,"2024-01-15"
4552321,3285059,"2020-09-03"
4495307,3209604,"2023-08-06"
4412794,2880356,"2025-02-01"
4362403,2889630,"2022-04-07"
4216612,3226105,"2022-07-22"
4388839,3151934,"2022-12-22"
4603529,3100643,"2023-10-19"
4057681,2997073,"2021-05-21"
4544141,2866557,"2022-04-08"
4339043,2917382,"2022-08-19"
4501463,3182151,"2024-03-09"
4181303,3181371,"2023-09-13"
4068329,3059103,"2024-02-29"
4219478,3044138,"2020-10-24"
4230547,3268480,"2023-07-20"
4338628,3153330,"2024-05-17"
4446422,3150876,"2023-11-20"
4252274,3052807,"2020-06-17"
4268772,3106874,"2020-09-28"
4129441,3267474,"2023-08-09"
4460696,3215233,"2020-05-21"
4340207,3378465,"2022-11-14"
4240580,3007800,"2023-08-28"
4242713,3175076,"2020-06-27"
4216653,3170829,"2024-12-14"
4345116,3315207,"2023-09-28"
4564223,3086118,"2023-06-03"
4663492,3118538,"2024-02-07"
4257342,2745338,"2023-10-10"
4558805,3229943,"2020-11-20"
4295150,3157784,"2022-06-23"
4268551,2823574,"2020-12-05"
4509005,2811198,"2023-10-30"
4168418,2819619,"2022-12-11"
4318833,3232906,"2022-08-18"
4429986,3360766,"2024-06-02"
4339259,2741349,"2022-07-27"
4333276,3017148,"2025-06-12"
4265709,3175719,"2021-09-25"
4194601,2731330,"2023-08-18"
4459879,2787673,"2020-04-03"
4122716,3226391,"2022-01-10"
4149628,2925683,"2025-01-13"
4434754,3343894,"2023-07-01"
4408218,2967839,"2020-07-14"
4455445,3423227,"2020-11-13"
4576649,2838181,"2025-04-18"
4538930,3091954,"2021-08-18"
4441470,3265161,"2022-03-09"
4456364,3248058,"2023-07-12"
4485681,3419425,"2021-03-23"
4099645,3190350,"2022-12-20"
4380592,3130246,"2021-10-06"
4073811,3094779,"2025-06-08"
4339125,2870551,"2021-09-07"
4300310,3491987,"2024-10-16"
4451752,3305607,"2024-11-16"
4281504,3442214,"2024-10-13"
4554348,3424256,"2024-10-05"
4294547,3292389,"2024-10-04"
4241785,3278533,"2022-11-21"
4132573,2934358,"2021-04-02"
4089803,3081750,"2023-04-14"
4249487,3367421,"2022-03-07"
4194451,2751940,"2024-10-20"
4185543,2947499,"2021-06-05"
4293524,2760180,"2025-07-19"
4596339,3354625,"2022-01-07"
4235070,2838410,"2022-11-23"
4499316,3153664,"2021-06-01"
4478995,3432833,"2022-05-21"
4137168,3156284,"2025-04-13"
4573494,2869093,"2020-04-28"
4531413,3391081,"2023-11-11"
4405734,3196889,"2020-09-05"
4497378,3325860,"2024-12-31"
4570475,2861528,"2022-08-23"
4388561,3015024,"2024-04-03"
4531854,3277292,"2024-02-04"
4478831,3114013,"2021-06-18"
4175858,3091140,"2024-07-12"
4421367,2809062,"2020-12-29"
4476412,2788062,"2024-01-31"
4453739,3452547,"2025-06-26"
4298067,3152333,"2021-11-16"
4204900,3231851,"2021-04-21"
4549147,3168321,"2024-08-02"
4543201,3419796,"2024-06-30"
4110421,3268313,"2020-08-23"
4473610,2982634,"2025-01-30"
4240036,3226295,"2020-06-06"
4158072,3397630,"2020-04-21"
4473225,3327096,"2020-09-04"
4567991,3418032,"2024-11-04"
4085861,3185318,"2023-04-01"
4223732,2783987,"2024-08-25"
4437917,3209100,"2022-12-29"
4216770,3060192,"2025-04-17"
4042370,3087877,"2024-11-12"
4349326,3148936,"2023-02-02"
4095913,3137799,"2021-12-26"
4173136,3377215,"2022-08-10"
4599526,3248530,"2024-03-22"
4260154,2983359,"2023-10-29"
4220857,3055208,"2022-03-29"
4473148,2983246,"2023-07-27"
4334499,3426218,"2022-05-01"
4094475,3139591,"2021-10-14"
4252612,2768923,"2022-01-26"
4373634,3459436,"2025-03-11"
4343852,3415500,"2020-05-12"
4169934,2748524,"2023-01-01"
4375834,2936654,"2025-04-01"
4259885,3165754,"2024-08-30"
4473837,2985673,"2020-10-04"
4381600,3091090,"2025-02-07"
4343052,2742580,"2022-07-31"
4135599,3065074,"2020-03-31"
4314784,3396621,"2022-01-22"
4214894,2935844,"2024-11-28"
4472596,2836059,"2024-10-06"
4428423,3200578,"2023-12-02"
4525174,2743367,"2022-06-20"
4448526,2762538,"2025-01-21"
4291315,2799515,"2020-05-17"
4237865,3339648,"2021-01-09"
4462845,2800555,"2020-06-29"
4175385,2990756,"2024-12-04"
4414326,3397408,"2021-06-08"
4361868,2894455,"2021-03-29"
4099821,3101784,"2020-08-13"
4387562,2921598,"2022-01-03"
4554786,3210981,"2022-04-27"
4231787,2896864,"2020-08-11"
4352092,3166492,"2021-01-23"
4523828,3112902,"2022-10-28"
4224017,3509588,"2023-06-18"
4216831,3100712,"2021-02-09"
4520958,3068685,"2021-12-24"
4128488,3250051,"2020-04-15"
4105996,3003149,"2022-08-12"
4184367,2888757,"2023-11-29"
4352681,2998151,"2020-08-02"
4239273,3216404,"2020-04-29"
4218567,2860106,"2022-09-13"
4337371,3334404,"2021-03-12"
4262218,3032411,"2024-01-25"
4578841,3270545,"2020-10-07"
4413882,2750293,"2024-08-24"
4291700,3086278,"2023-11-02"
4392499,3071924,"2021-02-14"
4332011,3101694,"2020-11-25"
4571041,3167543,"2024-07-15"
4467723,2780594,"2023-08-21"
4268383,2766142,"2020-04-23"
4325151,3374710,"2021-12-29"
4459436,2879822,"2025-05-03"
4123350,3019759,"2024-11-01"
4165706,3112556,"2023-02-19"
4274701,2802144,"2025-01-23"
4328661,2879742,"2024-02-27"
4351543,3038228,"2023-08-10"
4468553,3359655,"2024-05-05"
4547281,2823694,"2025-05-16"
4471438,3423636,"2020-04-14"
4288753,2777402,"2024-07-19"
4213618,3241478,"2023-05-01"
4190448,3047978,"2020-09-23"
4120816,3185250,"2022-12-27"
4071128,3099990,"2020-09-08"
4569742,3350513,"2020-06-13"
4423740,2875538,"2021-05-07"
4353234,2823395,"2022-03-24"
4547077,3359174,"2022-10-19"
4204029,3098072,"2020-11-21"
4554892,3345774,"2024-01-11"
4211153,2809053,"2025-05-14"
4474793,3418706,"2025-01-29"
4548658,3086711,"2023-09-16"
4442619,3047405,"2020-06-02"
4490821,3083133,"2022-11-17"
4283486,3312381,"2022-12-06"
4302354,2861098,"2024-03-02"
4484417,3244011,"2023-02-18"
4530411,3286935,"2024-01-12"
4461432,3024245,"2020-11-10"
4333071,2914213,"2024-10-21"
4495876,3090204,"2023-01-22"
4324072,3278489,"2022-02-08"
4473082,2750605,"2025-03-24"
4402016,3319331,"2023-07-23"
4357658,2980363,"2025-05-04"
4435097,2719956,"2021-07-20"
4498625,3394284,"2023-01-09"
4298283,3288599,"2024-11-13"
4506162,3195708,"2022-07-23"
4642288,3212332,"2021-08-24"
4416688,2951532,"2020-10-30"
4401609,3086999,"2024-10-30"
4240871,3022384,"2023-11-04"
4432629,3108796,"2024-12-07"
4137108,3384599,"2020-03-23"
4363445,2846880,"2021-11-22"
4467832,2765054,"2024-08-03"
4571569,3170835,"2022-10-23"
4105012,3274430,"2021-12-27"
4380036,3314653,"2022-08-03"
4505117,2748932,"2022-08-11"
4194328,3179152,"2024-01-10"
4329894,3445292,"2024-04-28"
4407227,3148512,"2021-02-22"
4386796,2765352,"2025-07-11"
4563336,3183072,"2022-03-30"
4233447,3370135,"2023-07-28"
4560438,3310942,"2025-07-12"
4136188,3366831,"2023-09-15"
4405169,2946531,"2024-09-20"
4194840,3209953,"2023-05-03"
4246005,3033815,"2020-08-08"
4424807,2934660,"2021-09-13"
4266542,3357422,"2021-09-27"
4417376,3217626,"2022-11-26"
4380787,2725110,"2022-10-04"
4256239,2895609,"2023-10-14"
4311181,3038519,"2021-04-22"
4119090,3112747,"2023-03-09"
4401523,3253002,"2021-04-01"
4487784,2763749,"2020-08-06"
4337450,2917398,"2024-08-19"
4533636,3116846,"2020-11-12"
4384584,2765629,"2024-09-08"
4376066,2979586,"2021-09-28"
4424706,3024147,"2021-10-15"
4054061,3054728,"2022-09-25"
4580903,3329032,"2024-05-30"
4425895,2769828,"2021-11-14"
4420406,2761532,"2020-05-11"
4396883,3035832,"2023-10-15"
4258918,3003410,"2022-09-04"
4381204,2996405,"2023-09-05"
4114797,2905932,"2023-07-07"
4527730,2872759,"2023-05-31"
4499055,2823629,"2020-10-28"
4617689,3270667,"2020-12-27"
4192167,2896860,"2022-07-14"
4610264,3180878,"2023-02-05"
4286685,3461226,"2022-12-02"
4573021,3248850,"2021-03-19"
4405444,2807881,"2020-05-07"
4174621,2742850,"2025-03-21"
4289613,3017557,"2020-12-20"
4242993,3241837,"2020-11-19"
4476744,2933789,"2024-07-23"
4454439,2869069,"2023-08-30"
4276940,3495630,"2020-08-24"
4469281,3203017,"2024-08-08"
4176500,3265301,"2025-04-19"
4196259,3217990,"2022-02-19"
4401664,2976191,"2021-09-15"
4484565,3373072,"2022-09-02"
4271762,2744717,"2021-05-01"
4072574,3141659,"2024-01-20"
4338141,3172453,"2021-02-26"
4609660,3237360,"2024-03-11"
4112084,2945391,"2023-05-13"
4605251,3302189,"2024-03-12"
4294077,3454873,"2020-04-26"
4410265,3010514,"2022-04-21"
4280027,3330209,"2025-07-23"
4301555,2939155,"2025-04-14"
4437358,2737379,"2022-12-16"
4552265,2895768,"2020-04-19"
4524671,2768726,"2020-11-14"
4565505,3285113,"2021-06-21"
4467248,2933844,"2021-05-10"
4561645,3164951,"2025-01-11"
4204104,3042636,"2023-12-04"
4256275,2742778,"2020-09-29"
4458187,3398263,"2020-05-15"
4053926,3188212,"2022-07-11"
4487408,3338492,"2024-06-06"
4265865,2892400,"2024-03-14"
4221497,3318526,"2022-12-31"
4422173,3239309,"2025-05-12"
4158013,2811170,"2020-03-12"
4365700,3034218,"2020-06-15"
4343436,2847531,"2021-11-13"
4366731,3219219,"2022-01-14"
4352895,3051846,"2024-02-19"
4272658,3128623,"2024-01-16"
4170793,2942753,"2020-02-15"
4283203,2929708,"2024-04-20"
4352735,2735306,"2020-07-07"
4546779,3198713,"2024-11-11"
4275918,3153767,"2024-10-22"
4222206,2865230,"2022-05-11"
4188833,2853261,"2020-06-23"
4456402,3350394,"2020-07-16"
4322588,3256754,"2023-02-27"
4562259,3355389,"2020-09-10"
4501232,2839797,"2022-08-30"
4427425,2874772,"2020-05-10"
4559546,3085152,"2022-02-14"
4620435,3119234,"2020-12-15"
4364021,3024341,"2024-05-29"
4419696,3320025,"2021-02-23"
4206029,3363635,"2020-10-17"
4574329,3171462,"2024-06-23"
4367701,2898037,"2021-10-31"
4462658,3032753,"2020-07-04"
4310678,3470885,"2020-05-19"
4221866,3529738,"2021-05-26"
4336340,2836648,"2024-12-08"
4393842,2710850,"2021-11-09"
4345240,3234317,"2022-10-02"
4253774,3128514,"2024-02-28"
4156160,3025391,"2020-11-04"
4433654,3217032,"2020-07-18"
4402538,3228218,"2023-12-01"
4096460,3169373,"2023-03-02"
4469023,3018882,"2023-10-26"
4111476,2937001,"2023-06-01"
4420370,3300492,"2025-05-26"
4176557,3318550,"2021-08-21"
4516551,3105531,"2023-05-18"
4486399,2753477,"2023-07-24"
4119805,3044969,"2024-03-26"
4409259,3000296,"2023-08-01"
4429651,2795830,"2023-07-13"
4462153,3263635,"2023-03-10"
4527131,2883654,"2024-03-19"
4190487,3219237,"2021-10-07"
4154837,3201703,"2022-12-01"
4273586,3413624,"2024-04-29"
4532454,3075965,"2025-01-25"
4282138,3081481,"2021-07-25"
4377077,3077259,"2025-01-06"
4074071,3074811,"2025-01-05"
4579394,3363938,"2024-02-25"
4373509,3088736,"2020-07-17"
4213155,3505058,"2022-11-13"
4568542,3410410,"2022-05-26"
4260499,3013400,"2024-06-11"
4242589,3115468,"2021-01-28"
4220124,3102117,"2023-08-05"
4258522,3257289,"2021-03-02"
4189042,3371804,"2021-12-11"
4268034,3008775,"2025-01-26"
4342797,2819502,"2022-09-17"
4461733,3253394,"2021-03-24"
4106767,3065008,"2023-12-17"
4239869,3216688,"2022-10-20"
4101525,2904949,"2021-12-05"
4292220,2888028,"2022-06-18"
4430915,2955406,"2022-11-02"
4556052,3172787,"2022-07-12"
4386812,2824683,"2022-08-28"
4280130,2980006,"2024-02-22"
4158735,2957911,"2020-05-23"
4272397,3267160,"2023-07-22"
4163525,3184186,"2023-04-28"
4387999,2784612,"2021-08-31"
4334174,3038356,"2022-02-12"
4579169,3193476,"2023-11-18"
4071475,3140952,"2024-11-27"
4547111,2862327,"2023-12-14"
4179443,2787651,"2024-03-27"
4196796,3107491,"2022-04-30"
4432818,3089205,"2022-01-12"
4194693,3061673,"2020-11-03"
4270632,3143471,"2022-05-31"
4221634,3286507,"2023-01-10"
4139774,3303947,"2024-03-13"
4056921,3050434,"2022-09-09"
4166547,3039679,"2021-02-01"
4516225,3352574,"2023-08-17"
4486314,2812462,"2021-01-02"
4410982,2791154,"2024-08-11"
4345343,3391380,"2020-03-06"
4180606,3270287,"2022-01-28"
4282349,3005358,"2020-11-09"
4361327,3015891,"2020-10-09"
4427932,2890193,"2024-05-18"
4583918,3408767,"2021-06-13"
4234150,2824139,"2022-08-21"
4354961,3161507,"2023-03-03"
4248273,2935637,"2021-11-27"
4469611,3428829,"2023-09-25"
4129782,3288905,"2021-10-29"
4498212,2756387,"2022-01-24"
4321665,2815149,"2021-12-22"
4381189,2743332,"2022-03-12"
4267694,3181042,"2025-07-18"
4164688,3096891,"2024-01-28"
4176272,2826863,"2021-10-22"
4344070,2987295,"2021-09-23"
4229125,3343874,"2025-07-22"
4579915,3402990,"2022-06-12"
4411577,3244070,"2022-04-13"
4334970,2954475,"2022-05-04"
4310174,2991283,"2021-07-09"
4145832,3118842,"2022-10-10"
4526679,2823977,"2020-02-17"
4155699,3012447,"2022-12-24"
4570215,3184451,"2020-12-22"
4419653,3153822,"2020-11-06"
4382146,2768291,"2022-11-15"
4096167,3221548,"2022-08-16"
4307879,2824993,"2025-06-05"
4187440,3043829,"2020-03-26"
4163702,3388963,"2022-11-22"
4498364,3187760,"2021-08-12"
4332945,3110191,"2023-06-06"
4365865,3290864,"2023-06-05"
4153298,3221594,"2021-09-06"
4486440,3425361,"2023-03-11"
4332684,3347184,"2021-03-13"
4385267,2720388,"2023-11-25"
4387310,3194822,"2021-04-16"
4399880,2976818,"2024-06-17"
4417452,3252598,"2020-02-24"
4195266,3036013,"2020-09-07"
4432017,2750779,"2024-12-26"
4258029,3075486,"2020-02-26"
4243577,2785011,"2025-07-15"
4279306,3128329,"2023-01-24"
4254626,3038987,"2021-09-17"
4485870,3467119,"2023-03-14"
4289100,3402653,"2021-03-27"
4505074,3053469,"2020-08-09"
4269646,3389468,"2024-12-25"
4397422,2838741,"2022-05-05"
4474529,2976242,"2020-02-25"
4473529,2766413,"2023-07-26"
4266454,3393212,"2021-01-05"
4445957,3344539,"2020-08-21"
4627007,3136987,"2021-04-13"
4162240,2788869,"2022-07-25"
4204552,3181239,"2021-10-26"
4610376,3300500,"2020-12-30"
4445793,3231953,"2024-12-23"
4500003,3165839,"2025-07-20"
4330915,3473998,"2021-10-09"
4387097,3246009,"2020-09-27"
4290891,3373353,"2021-06-06"
4373566,3376866,"2024-10-08"
4347481,2774734,"2022-08-04"
4191746,3035123,"2020-04-24"
4474292,3403326,"2025-04-25"
4096904,3222295,"2024-12-28"
4435763,2924960,"2023-07-19"
4302461,3420376,"2020-10-22"
4079887,3134588,"2020-06-20"
4418436,3134369,"2025-02-04"
4392400,2711536,"2020-02-28"
4418996,3214080,"2025-07-26"
4146884,3115208,"2024-05-03"
4459740,2896419,"2025-07-16"
4536427,3413510,"2022-02-13"
4533446,3093609,"2022-11-08"
4213660,2825747,"2024-12-21"
4510614,3100958,"2022-10-08"
4440135,2731895,"2020-02-21"
4355409,2937961,"2020-11-07"
4441539,2725302,"2024-06-29"
4203269,2833665,"2020-07-25"
4252175,2781455,"2023-01-25"
4142538,2924231,"2025-06-21"
4269829,3278894,"2022-10-13"
4429823,3235354,"2023-10-02"
4167519,3167764,"2024-04-16"
4441688,3087018,"2022-08-24"
4465276,3390141,"2022-05-20"
4448426,2878648,"2023-08-03"
4245266,2965065,"2024-07-16"
4317852,2950766,"2022-04-29"
4136854,3177782,"2023-01-07"
4502115,3060982,"2022-03-13"
4336673,2757312,"2022-10-29"
4214653,2962859,"2023-04-22"
4425343,3274711,"2025-04-24"
4174165,2901645,"2025-03-15"
4533655,3306108,"2023-11-26"
4303360,3011734,"2020-04-27"
4168776,3278409,"2024-03-24"
4327858,3204127,"2023-02-16"
4381294,3332080,"2025-04-22"
4375137,3016320,"2022-08-02"
4540570,3166363,"2020-09-26"
4324716,3299950,"2022-01-01"
4324694,3287993,"2025-07-09"
4476288,3141843,"2025-05-25"
4243956,3166453,"2021-09-24"
4303473,3013021,"2023-10-01"
4492119,2950138,"2023-05-11"
4567534,2825303,"2022-05-06"
4485148,2908709,"2023-05-14"
4326623,2989159,"2023-09-24"
4282240,2976923,"2020-02-16"
4522317,3099973,"2023-10-18"
4072823,3019747,"2022-03-31"
4270953,3259358,"2022-07-19"
4064120,3110424,"2021-08-08"
4369170,3116227,"2023-12-10"
4135048,2942220,"2022-09-05"
4671380,3143216,"2022-02-17"
4323466,3468802,"2025-04-03"
4505261,3360065,"2023-02-03"
4557961,2874414,"2024-08-22"
4243122,2951396,"2023-03-20"
4569674,3202988,"2023-09-14"
4248756,2814530,"2025-03-20"
4307903,3388407,"2023-07-15"
4342645,2733411,"2025-03-04"
4471561,2744502,"2021-09-08"
4505608,3444151,"2022-04-15"
4411509,2745423,"2022-12-17"
4300952,2864783,"2024-12-16"
4385705,2974887,"2021-07-13"
4094191,3086486,"2023-02-10"
4585921,3361006,"2023-03-04"
4482143,2736837,"2021-09-05"
4581763,3140201,"2022-09-12"
4283487,3358627,"2022-07-09"
4391360,3458649,"2020-08-01"
4314438,3370308,"2023-01-13"
4185952,3180241,"2022-03-08"
4467299,2919338,"2024-01-04"
4117125,3137844,"2021-12-09"
4614466,3140130,"2024-05-21"
4512690,3197982,"2025-02-03"
4259695,2866356,"2020-06-16"
4633437,3159301,"2020-03-15"
4255911,3413011,"2021-05-20"
4210964,3181654,"2022-12-19"
4427620,3346092,"2021-10-16"
4101377,3222205,"2023-06-30"
4392895,2918804,"2021-09-29"
4136049,3283524,"2021-05-19"
4155653,2785488,"2021-12-20"
4466849,3416757,"2023-02-24"
4178447,2850111,"2024-08-07"
4356164,2805097,"2024-11-03"
4121090,3121884,"2022-12-09"
4295340,2901152,"2025-06-30"
4439062,3347012,"2023-12-16"
4132444,2906219,"2022-04-14"
4459087,3218896,"2024-04-10"
4183602,3373884,"2023-12-05"
4646076,3186578,"2020-09-21"
4365875,2858372,"2023-01-23"
4196164,2845632,"2022-05-19"
4239448,2754502,"2023-10-08"
4172109,3358448,"2021-08-17"
4294876,2844505,"2024-07-28"
4403222,2847234,"2021-01-04"
4528084,2763875,"2023-01-20"
4613768,3219308,"2024-11-17"
4437180,2800178,"2025-03-16"
4214798,2878746,"2023-08-29"
4299115,3113723,"2023-05-25"
4475702,3279498,"2021-12-31"
4131126,2955402,"2022-05-24"
4376363,3242299,"2021-06-23"
4531271,2806464,"2021-05-24"
4467432,2918487,"2024-06-20"
4376233,2960020,"2022-04-16"
4237471,3384480,"2024-12-05"
4491021,2830540,"2023-03-23"
4512393,3426803,"2020-12-11"
4416351,3304775,"2021-04-29"
4565392,2813574,"2022-10-12"
4479357,3179810,"2020-10-15"
4529413,2852168,"2022-08-13"
4176036,2920853,"2023-07-17"
4498385,2875454,"2020-08-05"
4500595,3383369,"2021-11-11"
4206022,3211716,"2020-10-02"
4384351,2785065,"2024-03-16"
4426321,2855325,"2020-12-14"
4284078,2993107,"2022-03-14"
4370366,2763647,"2020-11-26"
4051834,3069690,"2020-10-19"
4340015,3172539,"2023-01-11"
4135530,3324178,"2022-09-10"
4207576,2851870,"2021-12-10"
4336976,3356475,"2024-08-14"
4215462,3023883,"2023-12-07"
4418506,3329405,"2024-05-15"
4448406,2759230,"2021-01-15"
4353423,2837840,"2024-02-13"
4316218,2816268,"2023-05-07"
4067589,3181739,"2020-12-12"
4342293,3262616,"2022-06-21"
4411775,2735746,"2022-05-23"
4405805,3107008,"2022-11-01"
4236248,3342062,"2023-05-05"
4165605,3250850,"2024-01-24"
4316287,2898241,"2023-09-29"
4257968,3487225,"2022-01-21"
4317847,3496518,"2025-05-01"
4338628,3107956,"2021-03-20"
4394153,3387720,"2020-04-06"
4106145,3150506,"2024-04-30"
4376587,2982516,"2020-05-18"
4357815,3324778,"2021-01-27"
4430464,2922304,"2023-07-25"
4294222,3463899,"2020-09-30"
4261764,3382855,"2023-08-25"
4079617,3096245,"2020-12-26"
4230790,2825227,"2025-02-22"
4488688,3048009,"2023-05-28"
4285524,3431271,"2022-02-03"
4396045,3173134,"2025-03-08"
4411225,3376306,"2021-09-02"
4458190,3253558,"2025-02-15"
4300576,3002392,"2024-07-22"
4408503,2937649,"2022-04-01"
4341228,3473425,"2022-04-20"
4073866,3113313,"2024-03-01"
4265157,3528869,"2021-04-03"
4637190,3132873,"2023-03-08"
4318125,3453612,"2025-05-06"
4513998,2812400,"2020-03-07"
4480425,2828790,"2025-03-23"
4341103,2865154,"2024-05-14"
4470519,2762469,"2024-12-29"
4068914,2939838,"2023-06-12"
4265637,3438136,"2021-12-28"
4277080,3316996,"2023-03-25"
4285172,3312766,"2024-06-07"
4131233,3009129,"2021-05-11"
4423196,3060156,"2020-12-10"
4097655,2950809,"2021-01-29"
4284444,3334516,"2021-03-16"
